Date,Time,Latitude,Longitude,Vehicles,Condition,Driver Age,Driver Sex
2022-06-24,HOUR23,39.73628,-105.16327,1.0,Clear,,
2022-06-25,HOUR17,39.74451,-105.48556,1.0,Clear,31.0,M
2022-06-26,HOUR6,39.7403,-104.72674,1.0,Clear,26.0,M
2022-06-26,HOUR18,39.70993,-105.69768,4.0,Clear,57.0,M
2022-06-27,HOUR18,39.72581,-105.42062,1.0,Clear,33.0,F
2022-06-27,HOUR21,39.71969,-105.40377,1.0,Clear,52.0,F
2022-06-27,HOUR21,39.71935,-105.40275,1.0,Clear,74.0,M
2022-06-27,HOUR22,39.74011,-104.72837,2.0,Clear,50.0,M
2022-06-29,HOUR15,39.7092,-105.34817,1.0,Rain,54.0,M
2022-06-30,HOUR5,39.73653,-105.16303,1.0,Clear,16.0,M
2022-06-30,HOUR12,39.74034,-105.159863,2.0,Cloudy,30.0,F
2022-06-30,HOUR16,39.74652,-104.74329,2.0,Clear,33.0,M
2022-07-01,HOUR12,39.73061,-105.17234,2.0,Clear,30.0,F
2022-07-01,HOUR17,39.738326,-104.496104,3.0,Clear,25.0,M
2022-07-01,HOUR18,39.7448,-105.4356,2.0,Cloudy,21.0,M
2022-07-02,HOUR4,39.73921,-104.55313,2.0,Clear,27.0,M
2022-07-02,HOUR22,39.74034,-104.70077,3.0,Clear,54.0,M
2022-07-03,HOUR3,39.7144,-105.3696,1.0,Clear,52.0,F
2022-07-05,HOUR1,39.71855,-105.40002,1.0,Clear,75.0,M
2022-07-07,HOUR8,39.71645,-105.19126,3.0,Clear,,
2022-07-07,HOUR11,39.70939,-105.69781,1.0,Clear,75.0,M
2022-07-10,HOUR1,39.74017,-104.66379,3.0,Clear,19.0,F
2022-07-10,HOUR2,39.73813,-104.63774,1.0,Clear,27.0,F
2022-07-10,HOUR17,39.74181,-105.52419,2.0,Clear,50.0,M
2022-07-10,HOUR21,39.74,-104.7221,2.0,Clear,46.0,M
2022-07-11,HOUR3,39.7103056,-106.7153056,1.0,Clear,23.0,M
2022-07-11,HOUR5,39.74032,-104.72945,1.0,Clear,,
2022-07-11,HOUR15,39.73847,-105.43149,1.0,Clear,58.0,M
2022-07-11,HOUR18,39.71556,-105.37216,2.0,Clear,26.0,M
2022-07-12,HOUR16,39.7198,-105.4044,1.0,Clear,44.0,F
2022-07-13,HOUR13,39.72994,-105.17273,2.0,Clear,65.0,F
2022-07-16,HOUR11,39.71404,-105.1932,2.0,Cloudy,41.0,M
2022-07-16,HOUR12,39.72351,-105.18179,3.0,Clear,,
2022-07-16,HOUR16,39.71188,-105.19426,3.0,Rain,82.0,M
2022-07-16,HOUR16,39.743847,-105.48102,3.0,Clear,,
2022-07-17,HOUR1,39.71665,-105.19056,2.0,Clear,,
2022-07-17,HOUR16,39.73815,-104.42476,2.0,Clear,21.0,M
2022-07-17,HOUR18,39.72327,-105.18214,2.0,Clear,30.0,M
2022-07-17,HOUR21,39.74382,-105.44565,1.0,Clear,73.0,M
2022-07-18,HOUR14,39.71618,-105.19156,2.0,Rain,32.0,F
2022-07-19,HOUR9,39.74097,-105.51558,2.0,Clear,40.0,F
2022-07-19,HOUR22,39.7393,-104.5597,1.0,Clear,20.0,F
2022-07-20,HOUR1,39.74009,-104.61604,1.0,Clear,19.0,M
2022-07-20,HOUR10,39.71217,-105.19408,2.0,Clear,,
2022-07-20,HOUR16,39.71253,-105.69698,2.0,Cloudy,50.0,M
2022-07-22,HOUR16,39.7376,-105.43091,2.0,Clear,32.0,M
2022-07-22,HOUR19,39.73889,-104.6449,1.0,Clear,51.0,M
2022-07-23,HOUR14,39.72585,-105.42062,3.0,Rain,72.0,M
2022-07-24,HOUR11,39.71108,-105.69718,2.0,Rain,37.0,F
2022-07-24,HOUR19,39.72381,-105.18142,2.0,Rain,32.0,M
2022-07-24,HOUR19,39.74363,-105.53272,2.0,Rain,40.0,F
2022-07-26,HOUR16,39.7398,-104.6879,1.0,Clear,55.0,M
2022-07-27,HOUR11,39.74424,-105.4461,2.0,Clear,67.0,M
2022-07-28,HOUR23,39.71032,-105.29478,1.0,Clear,70.0,M
2022-07-29,HOUR14,39.74336,-105.53038,2.0,Rain,,
2022-07-29,HOUR16,39.7149,-105.39159,2.0,Cloudy,27.0,F
2022-07-29,HOUR20,39.74042,-104.65969,2.0,Clear,25.0,M
2022-07-29,HOUR21,39.738247,-104.474903,3.0,Clear,,
2022-07-30,HOUR8,39.7471,-105.54469,1.0,Clear,39.0,F
2022-08-02,HOUR6,39.74083,-104.71592,2.0,Clear,60.0,M
2022-08-05,HOUR18,39.7401,-104.69638,1.0,Clear,27.0,M
2022-08-06,HOUR12,39.74291,-104.73707,1.0,Clear,18.0,F
2022-08-06,HOUR23,39.714033,-105.193124,1.0,Clear,69.0,F
2022-08-08,HOUR16,39.72717,-105.17654,2.0,Clear,39.0,F
2022-08-08,HOUR16,39.72702,-105.17659,2.0,Clear,48.0,M
2022-08-10,HOUR20,39.71543,-105.38361,3.0,Clear,38.0,M
2022-08-11,HOUR4,39.70843,-106.71773,1.0,Clear,69.0,M
2022-08-12,HOUR22,39.72695,-105.17654,3.0,Clear,37.0,M
2022-08-13,HOUR3,39.70905,-105.28794,1.0,Clear,58.0,M
2022-08-13,HOUR9,39.73856,-104.44079,1.0,Clear,37.0,M
2022-08-14,HOUR16,39.70908,-105.28691,2.0,Clear,38.0,M
2022-08-15,HOUR9,39.74092,-104.73125,2.0,Clear,45.0,M
2022-08-15,HOUR16,39.7387,-104.5178,2.0,Rain,23.0,F
2022-08-16,HOUR0,39.74,-104.6719,1.0,Rain,,
2022-08-16,HOUR12,39.74095,-104.73355,1.0,Rain,47.0,M
2022-08-16,HOUR22,39.7171,-105.19074,2.0,Cloudy,38.0,M
2022-08-18,HOUR23,39.7461,-105.1519,2.0,Clear,34.0,F
2022-08-20,HOUR19,39.7097,-105.29483,1.0,Rain,16.0,F
2022-08-20,HOUR21,39.7102,-106.7147,1.0,Clear,20.0,M
2022-08-21,HOUR14,39.7455,-105.47029,2.0,Rain,25.0,M
2022-08-21,HOUR15,39.74234,-105.15587,2.0,Clear,62.0,M
2022-08-22,HOUR10,39.74457,-105.4418,2.0,Clear,52.0,M
2022-08-23,HOUR23,39.73396,-104.32314,1.0,Clear,52.0,F
2022-08-25,HOUR16,39.71124,-106.70493,1.0,Rain,27.0,M
2022-08-26,HOUR2,39.73904,-104.53627,1.0,Clear,32.0,F
2022-08-28,HOUR0,39.71503,-105.38214,2.0,Clear,27.0,M
2022-08-28,HOUR14,39.74545,-105.43737,1.0,Clear,26.0,M
2022-08-30,HOUR15,39.72908,-105.42449,2.0,Clear,,
2022-08-31,HOUR16,39.74561,-105.4379,1.0,Clear,48.0,M
2022-09-01,HOUR17,39.73991,-105.15919,2.0,Clear,51.0,F
2022-09-02,HOUR13,39.72546,-105.41975,2.0,Clear,38.0,F
2022-09-02,HOUR14,39.723,-105.18327,2.0,Clear,26.0,F
2022-09-04,HOUR11,39.70916,-105.28471,3.0,Clear,84.0,M
2022-09-04,HOUR17,39.72341,-105.18192,2.0,Clear,63.0,M
2022-09-04,HOUR17,39.72038,-105.18662,2.0,Clear,63.0,M
2022-09-04,HOUR18,39.71975,-105.18752,1.0,Clear,60.0,M
2022-09-04,HOUR20,39.71092,-105.19511,2.0,Clear,28.0,M
2022-09-04,HOUR20,39.74225,-105.49371,2.0,Clear,20.0,M
2022-09-05,HOUR11,39.73871,-104.51817,2.0,Clear,58.0,F
2022-09-07,HOUR6,39.74033,-104.70635,1.0,Clear,25.0,M
2022-09-07,HOUR16,39.740591,-105.158155,2.0,Clear,16.0,M
2022-09-08,HOUR8,39.73658,-105.16369,2.0,Clear,53.0,M
2022-09-08,HOUR10,39.74447,-105.44785,2.0,Clear,59.0,M
2022-09-08,HOUR23,39.74101,-104.7301,1.0,Clear,16.0,M
2022-09-12,HOUR4,39.74057,-104.66397,1.0,Clear,74.0,M
2022-09-12,HOUR18,39.7123,-105.3612,2.0,Clear,27.0,M
2022-09-14,HOUR0,39.72476,-105.17875,1.0,Clear,37.0,F
2022-09-14,HOUR14,39.73105,-105.17178,2.0,Cloudy,54.0,M
2022-09-14,HOUR16,39.71301,-105.36657,1.0,Cloudy,23.0,M
2022-09-14,HOUR17,39.73267,-105.16862,2.0,Rain,30.0,M
2022-09-15,HOUR13,39.74472,-105.43579,2.0,Cloudy,42.0,M
2022-09-16,HOUR6,39.70861,-105.80257,1.0,Clear,70.0,M
2022-09-16,HOUR13,39.74402,-105.47953,3.0,Clear,75.0,F
2022-09-16,HOUR15,39.71299,-105.19307,1.0,Clear,68.0,M
2022-09-17,HOUR11,39.74022,-104.68603,1.0,Clear,18.0,M
2022-09-18,HOUR11,39.71587,-104.21881,2.0,Clear,75.0,F
2022-09-19,HOUR13,39.74271,-105.43312,1.0,Clear,44.0,M
2022-09-20,HOUR6,39.73994,-104.61385,1.0,Clear,19.0,M
2022-09-20,HOUR11,39.74027,-104.72356,2.0,Clear,21.0,M
