Date,Time,Vehicles,CONDITION,Latitude,Longitude,Driver Age,Driver Sex
2015-08-13,1510.0,2,DRY,39.743847,-105.48102,70,F
2015-08-14,1735.0,2,DRY,39.743847,-105.48102,40,F
2015-08-14,2119.0,1,DRY,39.721171,-105.409726,28,M
2015-08-14,2330.0,1,DRY,39.715436,-105.383612,52,F
2015-08-15,313.0,1,DRY,39.74013,-104.716046,0,
2015-08-16,1015.0,2,DRY,39.735567,-105.164488,36,F
2015-08-16,1030.0,2,DRY,39.744124,-105.153748,56,M
2015-08-17,130.0,1,WET,39.735029,-105.165161,44,M
2015-08-17,1445.0,1,WET,39.729987,-105.425772,17,F
2015-08-17,2000.0,1,DRY,39.737692,-105.431195,27,F
2015-08-18,1340.0,1,DRY,39.744583,-105.536492,53,M
2015-08-18,1637.0,2,DRY,39.739791,-105.159158,17,M
2015-08-18,1700.0,1,DRY,39.739589,-104.62993,71,M
2015-08-18,2100.0,1,DRY,39.744436,-105.485949,21,F
2015-08-21,1319.0,2,DRY,39.712991,-105.193447,57,M
2015-08-21,1340.0,2,DRY,39.720028,-104.239827,22,M
2015-08-22,1552.0,1,DRY,39.719753,-105.40399,31,M
2015-08-23,1729.0,1,DRY,39.739438,-104.566927,47,F
2015-08-23,1754.0,1,DRY,39.738838,-104.535315,18,M
2015-08-25,752.0,2,DRY,39.713493,-105.193053,44,M
2015-08-25,755.0,2,DRY,39.725858,-105.178271,50,M
2015-08-27,135.0,2,DRY,39.745073,-105.472614,16,M
2015-08-27,2030.0,2,DRY,39.717905,-105.189549,43,M
2015-08-28,15.0,1,DRY,39.709206,-105.289807,23,M
2015-08-28,910.0,2,DRY,39.738236,-104.494995,31,F
2015-08-29,2235.0,1,DRY,39.709101,-105.287977,29,M
2015-08-30,1325.0,3,DRY,39.71381,-105.696783,20,M
2015-08-30,1720.0,2,DRY,39.739931,-104.607227,0,U
2015-08-30,2352.0,2,DRY,39.708501,-105.196869,21,M
2015-08-31,1055.0,1,DRY,39.713879,-105.309459,24,F
2015-08-31,1721.0,2,WET,39.72492,-105.179715,30,M
2015-09-01,1115.0,1,DRY,39.744354,-105.434957,43,M
2015-09-01,2033.0,2,DRY,39.738069,-104.415168,0,U
2015-09-02,1821.0,2,DRY,39.746602,-105.462678,27,M
