Date,Direction,Time,TRAFFIC,PRCP,SNOW,SNWD,SNOW_DAY_SUM,Vehicles,Driver Age,Condition_Code,MorF,DayOfWeek
20150730,1,17,1889,0.0,0.0,,0.0,2.0,70.0,1.0,2.0,4
20150730,0,17,1737,0.0,0.0,,0.0,2.0,70.0,1.0,2.0,4
20150731,1,13,2293,0.0,0.0,,0.0,2.0,58.0,1.0,2.0,5
20150731,0,13,2635,0.0,0.0,,0.0,2.0,58.0,1.0,2.0,5
20150802,1,17,3254,0.0,0.0,,0.0,2.0,37.0,1.0,2.0,7
20150802,0,17,1453,0.0,0.0,,0.0,2.0,37.0,1.0,2.0,7
20150803,1,6,925,0.0,0.0,,0.0,1.0,28.0,1.0,2.0,1
20150803,0,6,829,0.0,0.0,,0.0,1.0,28.0,1.0,2.0,1
20150803,1,12,2157,0.0,0.0,,0.0,2.0,26.0,1.0,2.0,1
20150803,0,12,1789,0.0,0.0,,0.0,2.0,26.0,1.0,2.0,1
20150808,1,15,2924,0.0,0.0,,0.0,2.0,49.0,1.0,2.0,6
20150808,1,15,2924,0.0,0.0,,0.0,2.0,69.0,1.0,2.0,6
20150808,0,15,2599,0.0,0.0,,0.0,2.0,49.0,1.0,2.0,6
20150808,0,15,2599,0.0,0.0,,0.0,2.0,69.0,1.0,2.0,6
20150808,1,18,2166,0.0,0.0,,0.0,1.0,23.0,1.0,2.0,6
20150808,0,18,1206,0.0,0.0,,0.0,1.0,23.0,1.0,2.0,6
20150810,1,7,1186,0.0,0.0,,0.0,2.0,26.0,1.0,2.0,1
20150810,0,7,1157,0.0,0.0,,0.0,2.0,26.0,1.0,2.0,1
20150813,1,15,2246,0.0,0.0,,0.0,2.0,70.0,1.0,2.0,4
20150813,0,15,1724,0.0,0.0,,0.0,2.0,70.0,1.0,2.0,4
20150814,1,17,2169,0.0,0.0,,0.0,2.0,40.0,1.0,2.0,5
20150814,0,17,2893,0.0,0.0,,0.0,2.0,40.0,1.0,2.0,5
20150814,1,23,296,0.0,0.0,,0.0,1.0,52.0,1.0,2.0,5
20150814,0,23,386,0.0,0.0,,0.0,1.0,52.0,1.0,2.0,5
20150816,1,10,3096,,,,,2.0,36.0,1.0,2.0,7
20150816,0,10,2044,,,,,2.0,36.0,1.0,2.0,7
20150817,1,20,771,0.08,0.0,,0.0,1.0,27.0,1.0,2.0,1
20150817,0,20,635,0.08,0.0,,0.0,1.0,27.0,1.0,2.0,1
20150818,1,21,514,,,,,1.0,21.0,1.0,2.0,2
20150818,0,21,496,,,,,1.0,21.0,1.0,2.0,2
20150823,1,17,2972,0.0,0.0,,0.0,1.0,47.0,1.0,2.0,7
20150823,0,17,1304,0.0,0.0,,0.0,1.0,47.0,1.0,2.0,7
20150828,1,9,1063,,,,,2.0,31.0,1.0,2.0,5
