Date,Time,Vehicles,CONDITION,Latitude,Longitude,Driver Age,Driver Sex
2017-08-29,HOUR6,2,DRY,39.743096,-105.492418,46,M
2017-08-29,HOUR20,2,DRY,39.740135,-104.715894,22,M
2017-08-30,HOUR7,2,DRY,39.712567,-105.19377,62,M
2017-08-30,HOUR19,1,DRY,39.744297,-105.448811,55,M
2017-09-01,HOUR15,1,DRY,39.734059,-104.345001,32,F
2017-09-02,HOUR12,2,DRY,39.71234,-105.193936,20,F
2017-09-03,HOUR10,1,DRY,39.7089,-105.284318,53,F
2017-09-04,HOUR15,2,DRY,39.731494,-105.169081,54,M
2017-09-07,HOUR7,2,DRY,39.717907,-105.189544,32,F
2017-09-07,HOUR14,2,DRY,39.717791,-105.189655,33,F
2017-09-07,HOUR18,4,DRY,39.744233,-105.485155,20,M
2017-09-10,HOUR22,1,DRY,39.74364,-105.433711,22,M
2017-09-11,HOUR14,2,DRY,39.739801,-105.159144,75,M
2017-09-12,HOUR8,2,DRY,39.740023,-104.669967,21,M
2017-09-14,HOUR13,2,DRY,39.746166,-105.541346,76,M
2017-09-14,HOUR15,2,WET,39.740809,-105.497492,60,M
2017-09-15,HOUR7,2,DRY,39.734468,-105.165863,40,M
2017-09-15,HOUR20,2,DRY,39.733792,-104.349953,49,M
2017-09-16,HOUR1,1,DRY,39.708186,-105.281754,20,M
2017-09-18,HOUR7,1,DRY,39.735325,-105.164783,69,M
2017-09-20,HOUR21,2,DRY,39.713418,-105.367857,53,M
2017-09-21,HOUR0,2,DRY,39.739801,-105.159144,45,M
2017-09-21,HOUR7,2,DRY,39.734373,-105.165983,19,M
2017-09-21,HOUR7,2,DRY,39.739896,-105.159024,36,M
2017-09-21,HOUR15,2,DRY,39.716815,-105.190482,24,M
2017-09-21,HOUR17,2,DRY,39.73742,-105.162144,26,M
2017-09-22,HOUR19,2,DRY,39.744411,-105.488957,20,M
2017-09-23,HOUR17,1,WET,39.744354,-105.43495,20,M
2017-09-23,HOUR17,1,WET,39.740125,-104.72877,33,M
2017-09-23,HOUR21,1,WET,39.741308,-105.513778,25,M
2017-09-25,HOUR13,1,WET,39.71234,-105.193936,63,M
2017-09-26,HOUR1,1,WET,39.713098,-105.367276,27,M
2017-09-26,HOUR18,2,WET,39.741046,-105.515331,32,F
2017-09-28,HOUR12,2,DRY,39.731326,-105.169822,33,M
2017-09-29,HOUR1,1,WET,39.742891,-105.52762,29,M
2017-09-29,HOUR22,1,DRY,39.7089,-105.284318,27,M
2017-10-01,HOUR20,1,WET,39.710096,-105.350063,37,M
2017-10-03,HOUR20,1,WET,39.74019,-105.158656,0,
2017-10-04,HOUR22,1,DRY,39.712496,-105.304125,21,M
2017-10-05,HOUR16,2,DRY,39.723014,-105.182653,24,F
2017-10-07,HOUR11,2,DRY,39.719178,-105.402112,46,F
2017-10-08,HOUR20,2,DRY,39.739484,-104.5705,42,M
2017-10-09,HOUR0,2,SNOWY,39.740039,-104.727972,21,M
2017-10-09,HOUR6,1,SNOWY,39.708499,-105.196871,20,M
2017-10-10,HOUR11,2,DRY,39.739801,-105.159144,50,M
2017-10-10,HOUR20,2,DRY,39.744123,-105.153749,37,M
2017-10-12,HOUR12,2,DRY,39.708993,-105.285777,43,M
2017-10-13,HOUR9,4,DRY,39.747929,-105.546346,19,F
2017-10-13,HOUR12,1,DRY,39.740136,-104.715401,20,F
2017-10-13,HOUR20,1,DRY,39.740481,-105.432702,29,M
2017-10-13,HOUR23,2,DRY,39.739801,-105.159144,19,F
2017-10-14,HOUR17,2,DRY,39.739801,-105.159144,28,F
2017-10-15,HOUR22,1,DRY,39.73813,-104.439958,47,M
2017-10-17,HOUR20,1,DRY,39.745138,-105.440266,32,M
2017-10-21,HOUR18,1,DRY,39.729349,-104.291095,74,M
2017-10-22,HOUR10,1,DRY,39.744123,-105.153749,36,M
2017-10-24,HOUR5,1,DRY,39.719753,-105.403991,51,M
2017-10-24,HOUR8,2,DRY,39.734373,-105.165983,30,F
2017-10-24,HOUR8,1,DRY,39.736297,-104.399523,33,M
2017-10-26,HOUR15,2,DRY,39.738212,-104.477099,25,F
2017-10-26,HOUR20,1,SNOWY,39.743855,-105.480957,26,M
2017-10-27,HOUR9,2,DRY,39.739134,-105.159984,69,M
2017-10-27,HOUR20,2,SNOWY,39.741215,-105.495956,0,
2017-10-28,HOUR14,3,DRY,39.745222,-105.47048,29,F
2017-10-29,HOUR9,2,DRY,39.737502,-104.407245,44,F
2017-10-29,HOUR11,2,DRY,39.72744,-104.2696,79,F
2017-10-31,HOUR15,2,DRY,39.730945,-105.170301,28,F
2017-10-31,HOUR16,2,DRY,39.739801,-105.159144,26,F
2017-10-31,HOUR22,2,DRY,39.724894,-105.179757,65,F
2017-11-01,HOUR14,2,DRY,39.719178,-105.402112,25,M
2017-11-02,HOUR8,1,DRY,39.712238,-105.358867,43,M
