Date,Time,Vehicles,Driver Age,Condition_Code,MorF
2014-12-14,11,2,21,6,0
2014-12-14,14,1,20,3,0
2014-12-14,20,1,46,3,0
2014-12-15,1,1,33,0,0
2014-12-15,7,2,16,0,1
2014-12-15,16,2,47,0,0
2014-12-16,11,2,34,0,0
2014-12-17,18,2,28,0,0
2014-12-19,16,2,38,0,0
2014-12-20,7,3,41,0,0
2014-12-21,20,1,23,7,1
2014-12-22,5,1,53,6,0
2014-12-22,15,2,22,3,0
2014-12-22,15,1,72,3,0
2014-12-22,16,1,32,3,0
2014-12-23,14,2,56,3,0
2014-12-24,16,2,53,0,0
2014-12-24,21,1,19,8,1
2014-12-25,22,1,48,6,1
2014-12-27,0,1,36,6,0
2014-12-27,9,2,41,3,0
2014-12-27,11,2,20,0,1
2014-12-27,14,1,41,3,0
2014-12-29,8,1,57,7,1
2014-12-29,10,1,54,3,0
2014-12-29,11,2,35,3,1
2014-12-29,13,1,19,3,0
2014-12-29,14,1,31,7,1
2014-12-29,15,2,34,0,0
2014-12-29,17,1,20,7,0
2014-12-30,7,1,23,6,1
2014-12-30,11,2,61,3,1
2014-12-30,11,1,40,3,0
2014-12-30,11,1,66,3,1
2014-12-30,12,1,26,3,0
2015-01-01,15,1,16,6,0
2015-01-02,11,2,16,3,1
2015-01-02,16,2,56,3,0
2015-01-03,7,2,22,3,0
2015-01-04,11,1,39,0,0
2015-01-04,14,2,35,0,0
2015-01-05,8,1,64,0,0
2015-01-05,12,1,27,0,0
2015-01-05,16,1,63,3,0
2015-01-05,17,4,25,3,0
2015-01-05,17,1,86,3,0
2015-01-07,7,2,38,3,0
2015-01-07,8,2,34,3,0
2015-01-08,1,1,17,0,1
2015-01-08,21,2,58,3,0
2015-01-08,22,1,50,3,1
2015-01-09,5,1,26,3,0
2015-01-09,7,2,19,8,0
2015-01-10,6,2,23,0,0
2015-01-10,6,2,47,0,0
2015-01-10,6,2,32,0,0
2015-01-10,20,1,50,0,0
2015-01-12,8,2,54,0,0
2015-01-14,3,1,19,0,1
2015-01-14,12,2,24,0,1
2015-01-14,14,1,26,3,0
2015-01-14,17,2,25,0,1
2015-01-14,17,2,19,0,0
2015-01-17,5,1,36,3,0
2015-01-18,4,1,78,0,0
2015-01-18,7,2,25,0,0
2015-01-18,7,2,32,0,0
2015-01-18,10,2,65,0,0
2015-01-20,0,1,25,3,0
2015-01-20,14,1,27,0,1
2015-01-21,10,3,31,7,1
2015-01-21,15,1,63,3,0
2015-01-21,20,1,21,7,0
2015-01-22,8,3,18,3,1
2015-01-22,14,2,33,0,0
2015-01-23,19,2,20,0,0
2015-01-23,19,3,74,0,0
2015-01-24,1,1,21,0,0
2015-01-24,8,1,43,0,1
2015-01-24,16,2,48,0,0
2015-01-24,21,2,18,0,0
2015-01-25,9,3,20,0,0
2015-01-25,11,2,34,3,0
2015-01-25,15,2,28,0,0
2015-01-25,22,1,44,0,1
2015-01-26,2,2,16,0,0
2015-01-26,6,2,36,0,0
2015-01-26,11,2,65,0,0
2015-01-26,18,1,26,0,0
2015-01-27,8,2,26,0,0
2015-01-27,16,5,64,0,0
