DATE,Direction,HOUR,TRAFFIC
2014-01-13,P,10,1028
2014-01-13,S,10,1177
2014-01-13,P,11,1018
2014-01-13,S,11,1073
2014-01-13,P,12,1253
2014-01-13,S,12,1013
2014-01-13,P,13,1399
2014-01-13,S,13,912
2014-01-13,P,14,1752
2014-01-13,S,14,898
2014-01-13,P,15,1898
2014-01-13,S,15,887
2014-01-13,P,16,1879
2014-01-13,S,16,871
2014-01-13,P,17,1462
2014-01-13,S,17,785
2014-01-13,P,18,952
2014-01-13,S,18,618
2014-01-13,P,19,541
2014-01-13,S,19,473
2014-01-13,P,20,381
2014-01-13,S,20,386
2014-01-13,P,21,233
2014-01-13,S,21,289
2014-01-13,P,22,169
2014-01-13,S,22,192
2014-01-13,P,23,107
2014-01-13,S,23,134
2014-01-14,P,0,75
2014-01-14,S,0,90
2014-01-14,P,1,56
2014-01-14,S,1,97
2014-01-14,P,2,47
2014-01-14,S,2,77
2014-01-14,P,3,39
2014-01-14,S,3,80
2014-01-14,P,4,66
2014-01-14,S,4,159
2014-01-14,P,5,168
2014-01-14,S,5,303
2014-01-14,P,6,399
2014-01-14,S,6,583
2014-01-14,P,7,546
2014-01-14,S,7,1361
2014-01-14,P,8,668
2014-01-14,S,8,1675
2014-01-14,P,9,699
2014-01-14,S,9,1360
2014-01-14,P,10,666
2014-01-14,S,10,955
2014-01-14,P,11,827
2014-01-14,S,11,804
2014-01-14,P,12,1238
2014-01-14,S,12,713
2014-01-14,P,13,1130
2014-01-14,S,13,707
2014-01-14,P,14,1281
2014-01-14,S,14,781
2014-01-14,P,15,1535
2014-01-14,S,15,812
2014-01-14,P,16,1433
2014-01-14,S,16,822
2014-01-14,P,17,1307
2014-01-14,S,17,731
2014-01-14,P,18,1072
2014-01-14,S,18,596
2014-01-14,P,19,497
2014-01-14,S,19,414
2014-01-14,P,20,336
2014-01-14,S,20,383
2014-01-14,P,21,198
2014-01-14,S,21,286
2014-01-14,P,22,175
2014-01-14,S,22,209
2014-01-14,P,23,137
2014-01-14,S,23,119
2014-01-15,P,0,73
2014-01-15,S,0,103
2014-01-15,P,1,74
2014-01-15,S,1,82
2014-01-15,P,2,76
2014-01-15,S,2,78
2014-01-15,P,3,48
2014-01-15,S,3,71
2014-01-15,P,4,99
2014-01-15,S,4,193
2014-01-15,P,5,207
2014-01-15,S,5,310
2014-01-15,P,6,436
2014-01-15,S,6,695
2014-01-15,P,7,651
2014-01-15,S,7,1893
2014-01-15,P,8,777
2014-01-15,S,8,2526
2014-01-15,P,9,839
2014-01-15,S,9,2022
2014-01-15,P,10,978
2014-01-15,S,10,1498
2014-01-15,P,11,1059
2014-01-15,S,11,1167
2014-01-15,P,12,1283
2014-01-15,S,12,1008
2014-01-15,P,13,1578
2014-01-15,S,13,988
2014-01-15,P,14,2005
2014-01-15,S,14,1101
2014-01-15,P,15,2433
2014-01-15,S,15,1122
2014-01-15,P,16,2459
2014-01-15,S,16,1066
2014-01-15,P,17,1636
2014-01-15,S,17,911
2014-01-15,P,18,983
2014-01-15,S,18,765
2014-01-15,P,19,554
2014-01-15,S,19,710
2014-01-15,P,20,471
2014-01-15,S,20,521
2014-01-15,P,21,275
2014-01-15,S,21,490
2014-01-15,P,22,228
2014-01-15,S,22,392
2014-01-15,P,23,129
2014-01-15,S,23,170
2014-01-16,P,0,99
2014-01-16,S,0,148
2014-01-16,P,1,69
2014-01-16,S,1,115
2014-01-16,P,2,44
2014-01-16,S,2,96
2014-01-16,P,3,79
2014-01-16,S,3,108
2014-01-16,P,4,91
2014-01-16,S,4,180
2014-01-16,P,5,194
2014-01-16,S,5,335
2014-01-16,P,6,434
2014-01-16,S,6,697
2014-01-16,P,7,624
2014-01-16,S,7,1510
2014-01-16,P,8,742
2014-01-16,S,8,2061
2014-01-16,P,9,913
2014-01-16,S,9,1921
2014-01-16,P,10,1026
2014-01-16,S,10,1427
2014-01-16,P,11,1052
2014-01-16,S,11,1263
2014-01-16,P,12,1202
2014-01-16,S,12,1162
2014-01-16,P,13,1409
2014-01-16,S,13,1219
2014-01-16,P,14,1866
2014-01-16,S,14,1308
2014-01-16,P,15,2186
2014-01-16,S,15,1340
2014-01-16,P,16,2160
2014-01-16,S,16,1528
2014-01-16,P,17,1612
2014-01-16,S,17,1367
2014-01-16,P,18,868
2014-01-16,S,18,1316
2014-01-16,P,19,605
2014-01-16,S,19,1181
2014-01-16,P,20,426
2014-01-16,S,20,983
2014-01-16,P,21,307
2014-01-16,S,21,849
2014-01-16,P,22,225
2014-01-16,S,22,680
2014-01-16,P,23,152
2014-01-16,S,23,332
2014-01-17,P,0,103
2014-01-17,S,0,214
2014-01-17,P,1,73
2014-01-17,S,1,137
2014-01-17,P,2,50
2014-01-17,S,2,100
2014-01-17,P,3,70
2014-01-17,S,3,112
2014-01-17,P,4,100
2014-01-17,S,4,176
2014-01-17,P,5,195
2014-01-17,S,5,273
2014-01-17,P,6,386
2014-01-17,S,6,857
2014-01-17,P,7,672
2014-01-17,S,7,2495
2014-01-17,P,8,718
2014-01-17,S,8,3094
2014-01-17,P,9,970
2014-01-17,S,9,2703
2014-01-17,P,10,1092
2014-01-17,S,10,2187
2014-01-17,P,11,1263
2014-01-17,S,11,1867
2014-01-17,P,12,1350
2014-01-17,S,12,1775
2014-01-17,P,13,1846
2014-01-17,S,13,1897
2014-01-17,P,14,2319
2014-01-17,S,14,2194
2014-01-17,P,15,2890
2014-01-17,S,15,2596
2014-01-17,P,16,3055
2014-01-17,S,16,3270
2014-01-17,P,17,2348
2014-01-17,S,17,3215
2014-01-17,P,18,1337
2014-01-17,S,18,3093
2014-01-17,P,19,862
2014-01-17,S,19,3155
2014-01-17,P,20,608
2014-01-17,S,20,2873
2014-01-17,P,21,430
2014-01-17,S,21,1536
2014-01-17,P,22,274
2014-01-17,S,22,969
2014-01-17,P,23,152
2014-01-17,S,23,434
2014-01-18,P,0,97
2014-01-18,S,0,283
2014-01-18,P,1,63
2014-01-18,S,1,168
2014-01-18,P,2,58
2014-01-18,S,2,120
2014-01-18,P,3,74
2014-01-18,S,3,100
2014-01-18,P,4,74
2014-01-18,S,4,189
2014-01-18,P,5,136
2014-01-18,S,5,501
2014-01-18,P,6,243
2014-01-18,S,6,2926
2014-01-18,P,7,421
2014-01-18,S,7,3426
2014-01-18,P,8,728
2014-01-18,S,8,3350
2014-01-18,P,9,1074
2014-01-18,S,9,3103
2014-01-18,P,10,1467
2014-01-18,S,10,2963
2014-01-18,P,11,1763
2014-01-18,S,11,3056
2014-01-18,P,12,1947
2014-01-18,S,12,2325
2014-01-18,P,13,2451
2014-01-18,S,13,1934
2014-01-18,P,14,2892
2014-01-18,S,14,1893
2014-01-18,P,15,3192
2014-01-18,S,15,1845
2014-01-18,P,16,3377
2014-01-18,S,16,1671
2014-01-18,P,17,3239
2014-01-18,S,17,1333
2014-01-18,P,18,3221
2014-01-18,S,18,1153
2014-01-18,P,19,2333
2014-01-18,S,19,909
2014-01-18,P,20,1241
2014-01-18,S,20,666
2014-01-18,P,21,657
2014-01-18,S,21,500
2014-01-18,P,22,400
2014-01-18,S,22,350
2014-01-18,P,23,208
2014-01-18,S,23,205
2014-01-19,P,0,104
2014-01-19,S,0,132
2014-01-19,P,1,91
2014-01-19,S,1,99
2014-01-19,P,2,48
2014-01-19,S,2,79
2014-01-19,P,3,82
2014-01-19,S,3,70
2014-01-19,P,4,74
2014-01-19,S,4,94
2014-01-19,P,5,134
2014-01-19,S,5,208
2014-01-19,P,6,209
2014-01-19,S,6,1432
2014-01-19,P,7,520
2014-01-19,S,7,2865
2014-01-19,P,8,1225
2014-01-19,S,8,2168
2014-01-19,P,9,2436
2014-01-19,S,9,1842
2014-01-19,P,10,3046
2014-01-19,S,10,1627
2014-01-19,P,11,2881
2014-01-19,S,11,1425
2014-01-19,P,12,2447
2014-01-19,S,12,1241
2014-01-19,P,13,2072
2014-01-19,S,13,1023
2014-01-19,P,14,2095
2014-01-19,S,14,901
2014-01-19,P,15,2449
2014-01-19,S,15,752
2014-01-19,P,16,2764
2014-01-19,S,16,1002
2014-01-19,P,17,2800
2014-01-19,S,17,1415
2014-01-19,P,18,1549
2014-01-19,S,18,1020
2014-01-19,P,19,1491
2014-01-19,S,19,685
2014-01-19,P,20,1206
2014-01-19,S,20,528
2014-01-19,P,21,810
2014-01-19,S,21,407
2014-01-19,P,22,319
2014-01-19,S,22,251
2014-01-19,P,23,176
2014-01-19,S,23,169
2014-01-20,P,0,88
2014-01-20,S,0,121
2014-01-20,P,1,75
2014-01-20,S,1,79
2014-01-20,P,2,45
2014-01-20,S,2,68
2014-01-20,P,3,97
2014-01-20,S,3,101
2014-01-20,P,4,142
2014-01-20,S,4,189
2014-01-20,P,5,358
2014-01-20,S,5,377
2014-01-20,P,6,844
2014-01-20,S,6,1102
2014-01-20,P,7,1301
2014-01-20,S,7,2945
2014-01-20,P,8,1473
2014-01-20,S,8,2894
2014-01-20,P,9,2115
2014-01-20,S,9,2289
2014-01-20,P,10,2868
2014-01-20,S,10,1879
2014-01-20,P,11,3175
2014-01-20,S,11,1576
2014-01-20,P,12,3279
2014-01-20,S,12,1315
2014-01-20,P,13,3233
2014-01-20,S,13,1259
2014-01-20,P,14,3335
2014-01-20,S,14,1219
2014-01-20,P,15,3302
2014-01-20,S,15,1174
2014-01-20,P,16,3272
2014-01-20,S,16,1029
2014-01-20,P,17,3081
2014-01-20,S,17,880
2014-01-20,P,18,2060
2014-01-20,S,18,686
2014-01-20,P,19,1434
2014-01-20,S,19,507
2014-01-20,P,20,871
2014-01-20,S,20,406
2014-01-20,P,21,480
2014-01-20,S,21,346
2014-01-20,P,22,230
2014-01-20,S,22,219
2014-01-20,P,23,131
2014-01-20,S,23,135
2014-01-21,P,0,84
2014-01-21,S,0,87
2014-01-21,P,1,68
2014-01-21,S,1,96
2014-01-21,P,2,46
2014-01-21,S,2,61
2014-01-21,P,3,63
2014-01-21,S,3,83
2014-01-21,P,4,122
2014-01-21,S,4,167
2014-01-21,P,5,281
2014-01-21,S,5,308
2014-01-21,P,6,624
2014-01-21,S,6,587
2014-01-21,P,7,997
2014-01-21,S,7,1173
2014-01-21,P,8,981
2014-01-21,S,8,1661
2014-01-21,P,9,1135
2014-01-21,S,9,1501
2014-01-21,P,10,1249
2014-01-21,S,10,1183
2014-01-21,P,11,1198
2014-01-21,S,11,965
2014-01-21,P,12,1310
2014-01-21,S,12,968
2014-01-21,P,13,1488
2014-01-21,S,13,880
2014-01-21,P,14,1617
2014-01-21,S,14,950
2014-01-21,P,15,1829
2014-01-21,S,15,1054
2014-01-21,P,16,1842
2014-01-21,S,16,1026
2014-01-21,P,17,1317
2014-01-21,S,17,911
2014-01-21,P,18,814
2014-01-21,S,18,680
2014-01-21,P,19,511
2014-01-21,S,19,565
2014-01-21,P,20,357
2014-01-21,S,20,438
2014-01-21,P,21,271
2014-01-21,S,21,388
2014-01-21,P,22,178
2014-01-21,S,22,325
2014-01-21,P,23,113
2014-01-21,S,23,141
2014-01-22,P,0,76
2014-01-22,S,0,125
2014-01-22,P,1,62
2014-01-22,S,1,68
2014-01-22,P,2,54
2014-01-22,S,2,73
2014-01-22,P,3,60
2014-01-22,S,3,82
2014-01-22,P,4,104
2014-01-22,S,4,179
2014-01-22,P,5,226
2014-01-22,S,5,312
2014-01-22,P,6,492
2014-01-22,S,6,617
2014-01-22,P,7,741
2014-01-22,S,7,1265
2014-01-22,P,8,788
2014-01-22,S,8,1697
2014-01-22,P,9,900
2014-01-22,S,9,1558
2014-01-22,P,10,1017
2014-01-22,S,10,1236
2014-01-22,P,11,1052
2014-01-22,S,11,1042
2014-01-22,P,12,1087
2014-01-22,S,12,1035
2014-01-22,P,13,1385
