Date,Time,Vehicles,Driver Age,Condition_Code,MorF
2022-06-09,3,1,23,0,1
2022-06-09,8,1,71,0,0
2022-06-09,9,2,16,0,1
2022-06-09,14,2,67,0,0
2022-06-10,21,1,20,0,1
2022-06-11,13,1,32,0,0
2022-06-11,23,2,21,0,0
2022-06-12,2,2,27,0,0
2022-06-12,19,2,29,0,0
2022-06-13,12,1,54,0,0
2022-06-13,18,2,52,0,0
2022-06-14,2,2,20,0,0
2022-06-14,23,1,26,0,1
2022-06-15,15,2,23,0,1
2022-06-15,15,6,60,0,0
2022-06-18,1,1,37,0,0
2022-06-18,10,1,32,0,0
2022-06-19,8,1,29,0,1
2022-06-19,10,2,25,2,0
2022-06-19,19,2,24,0,1
2022-06-20,13,2,37,0,1
2022-06-20,14,2,38,0,0
2022-06-23,16,2,55,0,0
2022-06-24,23,1,50,0,0
2022-06-25,17,1,31,0,0
2022-06-26,6,1,26,0,0
2022-06-26,18,4,57,0,0
2022-06-27,18,1,33,0,1
2022-06-27,21,1,52,0,1
2022-06-27,21,1,74,0,0
2022-06-27,22,2,50,0,0
2022-06-29,15,1,54,3,0
2022-06-30,5,1,16,0,0
2022-06-30,12,2,30,1,1
2022-06-30,16,2,33,0,0
2022-07-01,12,2,30,0,1
2022-07-01,17,3,25,0,0
2022-07-01,18,2,21,1,0
2022-07-02,4,2,27,0,0
2022-07-02,22,3,54,0,0
2022-07-03,3,1,52,0,1
2022-07-05,1,1,75,0,0
2022-07-07,8,3,22,0,0
2022-07-07,11,1,75,0,0
2022-07-10,1,3,19,0,1
2022-07-10,2,1,27,0,1
2022-07-10,17,2,50,0,0
2022-07-10,21,2,46,0,0
2022-07-11,3,1,23,0,0
2022-07-11,5,1,29,0,0
2022-07-11,15,1,58,0,0
2022-07-11,18,2,26,0,0
2022-07-12,16,1,44,0,1
2022-07-13,13,2,65,0,1
2022-07-16,11,2,41,1,0
2022-07-16,12,3,57,0,0
2022-07-16,16,3,82,3,0
2022-07-16,16,3,34,0,0
2022-07-17,1,2,57,0,0
2022-07-17,16,2,21,0,0
2022-07-17,18,2,30,0,0
2022-07-17,21,1,73,0,0
2022-07-18,14,2,32,3,1
2022-07-19,9,2,40,0,1
2022-07-19,22,1,20,0,1
2022-07-20,1,1,19,0,0
2022-07-20,10,2,44,0,0
2022-07-20,16,2,50,1,0
2022-07-22,16,2,32,0,0
2022-07-22,19,1,51,0,0
2022-07-23,14,3,72,3,0
2022-07-24,11,2,37,3,1
2022-07-24,19,2,32,3,0
2022-07-24,19,2,40,3,1
2022-07-26,16,1,55,0,0
2022-07-27,11,2,67,0,0
2022-07-28,23,1,70,0,0
2022-07-29,14,2,22,3,0
2022-07-29,16,2,27,1,1
2022-07-29,20,2,25,0,0
2022-07-29,21,3,20,0,0
2022-07-30,8,1,39,0,1
2022-08-02,6,2,60,0,0
2022-08-05,18,1,27,0,0
2022-08-06,12,1,18,0,1
2022-08-06,23,1,69,0,1
2022-08-08,16,2,39,0,1
2022-08-08,16,2,48,0,0
2022-08-10,20,3,38,0,0
2022-08-11,4,1,69,0,0
2022-08-12,22,3,37,0,0
2022-08-13,3,1,58,0,0
2022-08-13,9,1,37,0,0
2022-08-14,16,2,38,0,0
2022-08-15,9,2,45,0,0
2022-08-15,16,2,23,3,1
2022-08-16,0,1,55,3,0
2022-08-16,12,1,47,3,0
2022-08-16,22,2,38,1,0
2022-08-18,23,2,34,0,1
2022-08-20,19,1,16,3,1
2022-08-20,21,1,20,0,0
2022-08-21,14,2,25,3,0
2022-08-21,15,2,62,0,0
2022-08-22,10,2,52,0,0
2022-08-23,23,1,52,0,1
2022-08-25,16,1,27,3,0
2022-08-26,2,1,32,0,1
2022-08-28,0,2,27,0,0
2022-08-28,14,1,26,0,0
2022-08-30,15,2,39,0,0
2022-08-31,16,1,48,0,0
2022-09-01,17,2,51,0,1
2022-09-02,13,2,38,0,1
2022-09-02,14,2,26,0,1
2022-09-04,11,3,84,0,0
2022-09-04,17,2,63,0,0
2022-09-04,17,2,63,0,0
2022-09-04,18,1,60,0,0
2022-09-04,20,2,28,0,0
2022-09-04,20,2,20,0,0
2022-09-05,11,2,58,0,1
2022-09-07,6,1,25,0,0
2022-09-07,16,2,16,0,0
2022-09-08,8,2,53,0,0
2022-09-08,10,2,59,0,0
2022-09-08,23,1,16,0,0
2022-09-12,4,1,74,0,0
2022-09-12,18,2,27,0,0
2022-09-14,0,1,37,0,1
2022-09-14,14,2,54,1,0
2022-09-14,16,1,23,1,0
2022-09-14,17,2,30,3,0
2022-09-15,13,2,42,1,0
2022-09-16,6,1,70,0,0
2022-09-16,13,3,75,0,1
2022-09-16,15,1,68,0,0
2022-09-17,11,1,18,0,0
2022-09-18,11,2,75,0,1
2022-09-19,13,1,44,0,0
2022-09-20,6,1,19,0,0
