SYSTEM,RTE,SEC,MP,DATE,TIME,SEVERITY,LOCATION,ROAD_DESC,VEHICLES,CONTOUR,CONDITION,LIGHTING,LATITUDE,LONGITUDE,AGE_1,SEX_1,DRIVER_1
INTERSTATE,70,A,154.9,3/11/2017,225.0,PDO,OFF LEFT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DARK-UNLIGHTED,39.710399,-106.694593,23,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,299.0,3/11/2017,1330.0,PDO,OFF LEFT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.738792,-104.533139,20,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,229.2,3/14/2017,430.0,INJ,OFF RIGHT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.733103,-105.690775,47,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,304.8,3/14/2017,520.0,INJ,ON,NON-INTERSECTION,2,STRAIGHT ON-GRADE,DRY,DARK-UNLIGHTED,39.738094,-104.425102,25,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,294.1,3/15/2017,2200.0,PDO,OFF RIGHT,NON-INTERSECTION,1,CURVE ON-LEVEL,DRY,DARK-UNLIGHTED,39.740024,-104.626372,34,F,ALCOHOL INVOLVED
INTERSTATE,70,A,239.0,3/17/2017,54.0,PDO,OFF LEFT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,39.743543,-105.532325,35,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,262.57,3/17/2017,1412.0,PDO,ON,AT INTERSECTION,2,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.739801,-105.159144,38,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,228.1,3/18/2017,1515.0,INJ,ON,NON-INTERSECTION,3,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.718502,-105.696065,35,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,253.11,3/20/2017,1432.0,INJ,OFF LEFT,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.711988,-105.302169,24,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,262.57,3/20/2017,1727.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.739801,-105.159144,19,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,230.07,3/21/2017,1755.0,PDO,OFF RIGHT,NON-INTERSECTION,1,CURVE ON-GRADE,DRY,DAYLIGHT,39.743477,-105.682043,30,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,289.2,3/22/2017,1140.0,INJ,OFF LEFT,NON-INTERSECTION,3,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.740137,-104.715236,46,M,NO IMPAIRMENT SUSPECTED
